decodedBER,origBER,pilotSNR,recSNR,RMSDS
0,0.090029762,22.6153059,27.2691421,2.107161859
0,0.087797619,22.6153059,27.2691421,2.107161859
0,0.081845238,22.6153059,27.2691421,2.107161859
0,0.089285714,22.6153059,27.2691421,2.107161859
0,0.095238095,22.6153059,27.2691421,2.107161859
0,0.094494048,22.6153059,27.2691421,2.107161859
0,0.084821429,22.6153059,27.2691421,2.107161859
0,0.09077381,22.6153059,27.2691421,2.107161859
0,0.086309524,22.6153059,27.2691421,2.107161859
0,0.097470238,22.6153059,27.2691421,2.107161859
0,0.09672619,22.6153059,27.2691421,2.107161859
0,0.094494048,22.6153059,27.2691421,2.107161859
0,0.103422619,22.6153059,27.2691421,2.107161859
0,0.080357143,22.6153059,27.2691421,2.107161859
0,0.086309524,22.6153059,27.2691421,2.107161859
0,0.089285714,22.6153059,27.2691421,2.107161859
0,0.09672619,22.6153059,27.2691421,2.107161859
0,0.085565476,22.6153059,27.2691421,2.107161859
0,0.081845238,22.6153059,27.2691421,2.107161859
0,0.087053571,22.6153059,27.2691421,2.107161859
0,0.0625,23.61351609,28.7740234,1.766419845
0,0.067708333,23.61351609,28.7740234,1.766419845
0,0.06547619,23.61351609,28.7740234,1.766419845
0,0.061755952,23.61351609,28.7740234,1.766419845
0,0.063244048,23.61351609,28.7740234,1.766419845
0,0.072172619,23.61351609,28.7740234,1.766419845
0,0.075892857,23.61351609,28.7740234,1.766419845
0,0.054315476,23.61351609,28.7740234,1.766419845
0,0.066964286,23.61351609,28.7740234,1.766419845
0,0.070684524,23.61351609,28.7740234,1.766419845
0,0.064732143,23.61351609,28.7740234,1.766419845
0,0.069196429,23.61351609,28.7740234,1.766419845
0,0.072916667,23.61351609,28.7740234,1.766419845
0,0.063244048,23.61351609,28.7740234,1.766419845
0,0.068452381,23.61351609,28.7740234,1.766419845
0,0.068452381,23.61351609,28.7740234,1.766419845
0,0.069196429,23.61351609,28.7740234,1.766419845
0,0.072172619,23.61351609,28.7740234,1.766419845
0,0.074404762,23.61351609,28.7740234,1.766419845
0,0.054315476,23.61351609,28.7740234,1.766419845
0,0.053571429,21.98788136,28.94846916,1.392015013
0,0.04389881,21.98788136,28.94846916,1.392015013
0,0.04985119,21.98788136,28.94846916,1.392015013
0,0.053571429,21.98788136,28.94846916,1.392015013
0,0.042410714,21.98788136,28.94846916,1.392015013
0,0.048363095,21.98788136,28.94846916,1.392015013
0,0.045386905,21.98788136,28.94846916,1.392015013
0,0.04985119,21.98788136,28.94846916,1.392015013
0,0.052083333,21.98788136,28.94846916,1.392015013
0,0.048363095,21.98788136,28.94846916,1.392015013
0,0.04389881,21.98788136,28.94846916,1.392015013
0,0.056547619,21.98788136,28.94846916,1.392015013
0,0.049107143,21.98788136,28.94846916,1.392015013
0,0.053571429,21.98788136,28.94846916,1.392015013
0,0.047619048,21.98788136,28.94846916,1.392015013
0,0.054315476,21.98788136,28.94846916,1.392015013
0,0.046130952,21.98788136,28.94846916,1.392015013
0,0.053571429,21.98788136,28.94846916,1.392015013
0,0.046875,21.98788136,28.94846916,1.392015013
0,0.049107143,21.98788136,28.94846916,1.392015013
0,0.084077381,21.39477555,28.89891736,1.711768401
0,0.094494048,21.39477555,28.89891736,1.711768401
0,0.083333333,21.39477555,28.89891736,1.711768401
0,0.077380952,21.39477555,28.89891736,1.711768401
0,0.077380952,21.39477555,28.89891736,1.711768401
0,0.079613095,21.39477555,28.89891736,1.711768401
0,0.084821429,21.39477555,28.89891736,1.711768401
0,0.084821429,21.39477555,28.89891736,1.711768401
0,0.066964286,21.39477555,28.89891736,1.711768401
0,0.061755952,21.39477555,28.89891736,1.711768401
0,0.066220238,21.39477555,28.89891736,1.711768401
0,0.097470238,21.39477555,28.89891736,1.711768401
0,0.043154762,21.39477555,28.89891736,1.711768401
0,0.045386905,21.39477555,28.89891736,1.711768401
0,0.046875,21.39477555,28.89891736,1.711768401
0,0.061011905,21.39477555,28.89891736,1.711768401
0,0.069940476,21.39477555,28.89891736,1.711768401
0,0.071428571,21.39477555,28.89891736,1.711768401
0,0.069196429,21.39477555,28.89891736,1.711768401
0,0.040922619,21.39477555,28.89891736,1.711768401
0,0.029017857,26.30773068,30.52962271,1.216427568
0,0.029761905,26.30773068,30.52962271,1.216427568
0,0.022321429,26.30773068,30.52962271,1.216427568
0,0.02827381,26.30773068,30.52962271,1.216427568
0,0.026785714,26.30773068,30.52962271,1.216427568
0,0.029017857,26.30773068,30.52962271,1.216427568
0,0.031994048,26.30773068,30.52962271,1.216427568
0,0.022321429,26.30773068,30.52962271,1.216427568
0,0.026041667,26.30773068,30.52962271,1.216427568
0,0.029017857,26.30773068,30.52962271,1.216427568
0,0.02827381,26.30773068,30.52962271,1.216427568
0,0.032738095,26.30773068,30.52962271,1.216427568
0,0.040178571,26.30773068,30.52962271,1.216427568
0,0.03422619,26.30773068,30.52962271,1.216427568
0,0.031994048,26.30773068,30.52962271,1.216427568
0,0.033482143,26.30773068,30.52962271,1.216427568
0,0.029017857,26.30773068,30.52962271,1.216427568
0,0.033482143,26.30773068,30.52962271,1.216427568
